"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test Search Page page for mobile and desktop size screens with number of items in the list","Verify Search Results have more than 3 items in the list","0","0","2","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the GET USER API getUser_invalid_usernameDefined_Is_Yes_with_special_characters","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the GET USER API getUser_username_Is_Null","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_valid_Username_BodyApplicationJsonType_Is_NotObject","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the DELETE USER API deleteUser_username_Is_Null","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_valid_Username_BodyApplicationJsonType_Are_null","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the CREATE USER API postUser_BodyApplicationJsonValueProperties_Are_Null","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_valid_Username_BodyDefined_Is_No","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the DELETE USER API deleteUser_invalid_usernameDefined_Is_Yes_with_special_characters","1","0","0","0","0"
"","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","Verify company logo and menu items are displayed on Home Page.","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the CREATE USER API postUser_valid_BodyDefined_Is_Yes","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_invalid_Username_BodyDefined_Is_No","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_invalid_Username_validBodyDefined_Is_Yes","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_valid_Username_validBodyDefined_Is_Yes","0","0","1","0","0"
"","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","Verify company logo and menu items are displayed on Pricing Page.","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_username_Is_Null_validBodyDefined_Is_Yes","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the UPDATE USER API putUser_username_with_special_Characters_validBodyDefined_Is_Yes","1","0","0","0","0"
"","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","Verify company logo and menu items are displayed on Integrations Page.","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the GET USER API getUser_invalid_usernameDefined_Is_Yes","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the GET USER API getUser_valid_usernameDefined_Is_Yes","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the CREATE USER API postUser_BodyDefined_Is_No","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the DELETE USER API deleteUser_invalid_UsernameDefined_Is_Yes","1","0","0","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the CREATE USER API postUser_BodyApplicationJsonType_Is_NotObject","0","0","1","0","0"
"","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","Verify company logo and menu items are displayed on Company Page.","0","0","1","0","0"
"","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","Verify company logo and menu items are displayed on Resources Page.","0","0","1","0","0"
"","Company logo and menu items are displayed on next pages: Solutions, Integrations, Resources, Pricing, Company.","Verify company logo and menu items are displayed on Solutions Page.","0","0","1","0","0"
"","Verify The CREATE , UPDATE, GET, DELETE APIs of User Service","Verifying the DELETE USER API deleteUser_valid_userNameDefined_isYes","1","0","0","0","0"
